星期 ,日期,队伍1,让分,预期胜率,得分,队伍2,让分2,预期胜率,得分2,分差,是否穿盘
Thursday, Dec. 28,Celtics , ,0.43,99,Rockets ,-1.5,0.57,98,-1,NO
Thursday, Dec. 28,T'wolves, ,0.43,96,Bucks ,-1.5,0.57,102,6,YES
Thursday, Dec. 28,Knicks , ,0.14,107,Spurs ,-11,0.86,119,12,YES
Thursday, Dec. 28,76ers , ,0.32,110,Trail Blazers ,-4.5,0.68,114,4,NO
Wednesday, Dec. 27,Hornets , ,0.49,91,Celtics ,-0.5,0.51,102,11,YES
Wednesday, Dec. 27,Mavericks , ,0.27,98,Pacers ,-6,0.73,94,-4,NO
Wednesday, Dec. 27,Hawks , ,0.34,113,Wizards ,-4,0.66,99,-14,NO
Wednesday, Dec. 27,Nets , ,0.17,113,Pelicans ,-9.5,0.83,128,15,YES
Wednesday, Dec. 27,Nuggets , ,0.31,125,T'wolves,-5,0.69,128,3,NO
Wednesday, Dec. 27,Knicks , ,0.49,87,Bulls ,-0.5,0.51,92,5,YES
Wednesday, Dec. 27,Raptors , ,0.34,107,Thunder ,-4,0.66,124,17,YES
Wednesday, Dec. 27,Kings , ,0.2,109,Cavaliers ,-8.5,0.8,95,-14,NO
Wednesday, Dec. 27,Grizzlies , ,0.26,109,Lakers ,-6.5,0.74,99,-10,NO
Wednesday, Dec. 27,Jazz , ,0.1,101,Warriors ,-13.5,0.9,126,25,YES
Tuesday, Dec. 26,Pacers , ,0.41,83,Pistons ,-2.5,0.59,107,24,YES
Tuesday, Dec. 26,Mavericks , ,0.32,98,Raptors ,-4.5,0.68,93,-5,NO
Tuesday, Dec. 26,Magic , ,0.22,89,Heat ,-7.5,0.78,107,18,YES
Tuesday, Dec. 26,Bulls , ,0.21,115,Bucks ,-8,0.79,106,-9,NO
Tuesday, Dec. 26,Nets , ,0.15,97,Spurs ,-10.5,0.85,109,12,YES
Tuesday, Dec. 26,Grizzlies , ,0.36,97,Suns ,-3.5,0.64,99,2,NO
Tuesday, Dec. 26,Jazz , ,0.25,83,Nuggets ,-6.5,0.75,107,24,YES
Tuesday, Dec. 26,Kings , ,0.22,95,Clippers ,-7.5,0.78,122,27,YES
Monday, Dec. 25 (Christmas Day),76ers , ,0.37,105,Knicks ,-3,0.63,98,-7,NO
Monday, Dec. 25 (Christmas Day),Cavaliers , ,0.22,92,Warriors ,-8,0.78,99,7,NO
Monday, Dec. 25 (Christmas Day),Wizards , ,0.29,111,Celtics ,-5.5,0.71,103,-8,NO
Monday, Dec. 25 (Christmas Day),Rockets , ,0.48,107,Thunder ,-0.5,0.52,112,5,YES
Monday, Dec. 25 (Christmas Day),Lakers , ,0.43,104,T'wolves,-1.5,0.57,121,17,YES
Saturday, Dec. 23,76ers , ,0.17,86,Raptors ,-9.5,0.83,102,16,YES
Saturday, Dec. 23,Nets , ,0.19,119,Pacers ,-9,0.81,123,4,NO
Saturday, Dec. 23,Bucks , ,0.45,106,Hornets ,-1.5,0.55,111,5,YES
Saturday, Dec. 23,Magic , ,0.2,103,Wizards ,-8.5,0.8,130,27,YES
Saturday, Dec. 23,Bulls , ,0.16,92,Celtics ,-10,0.84,117,25,YES
Saturday, Dec. 23,Hawks , ,0.47,112,Mavericks ,-0.5,0.53,107,-5,NO
Saturday, Dec. 23,Clippers , ,0.47,112,Grizzlies ,-1,0.53,115,3,YES
Saturday, Dec. 23,Pelicans , ,0.39,109,Heat ,-2.5,0.61,94,-15,NO
Saturday, Dec. 23,Thunder , ,0.3,103,Jazz ,-5,0.7,89,-14,NO
Saturday, Dec. 23,Nuggets , ,0.13,96,Warriors ,-12,0.87,81,-15,NO
Saturday, Dec. 23,Suns , ,0.38,106,T'wolves,-3,0.62,115,9,YES
Saturday, Dec. 23,Trail Blazers , ,0.45,95,Lakers ,-1.5,0.55,92,-3,NO
Saturday, Dec. 23,Kings , ,0.28,99,Spurs ,-5.5,0.72,108,9,YES
Friday, Dec. 22,Magic , ,0.45,97,Pelicans ,-1,0.55,111,14,YES
Friday, Dec. 22,Knicks , ,0.29,101,Pistons ,-5.5,0.71,104,3,NO
Friday, Dec. 22,Nets , ,0.38,119,Wizards ,-3,0.62,84,-35,NO
Friday, Dec. 22,Hawks , ,0.1,117,Thunder ,-13.5,0.9,120,3,NO
Friday, Dec. 22,Hornets , ,0.29,104,Bucks ,-5.5,0.71,109,5,NO
Friday, Dec. 22,Mavericks , ,0.29,101,Heat ,-5.5,0.71,113,12,YES
Friday, Dec. 22,Clippers , ,0.12,128,Rockets ,-12,0.88,118,-10,NO
Friday, Dec. 22,Nuggets , ,0.37,102,Trail Blazers ,-3,0.63,85,-17,NO
Friday, Dec. 22,Lakers , ,0.07,106,Warriors ,-16,0.93,113,7,NO
Thursday, Dec. 21,Bulls , ,0.1,112,Cavaliers ,-13.5,0.9,115,3,NO
Thursday, Dec. 21,76ers , ,0.46,109,Raptors ,-1,0.54,114,5,YES
Thursday, Dec. 21,Celtics , PK,0.5,93,Knicks ,0,0.5,102,9,YES
Thursday, Dec. 21,Grizzlies , ,0.36,95,Suns ,-3.5,0.64,97,2,NO
Thursday, Dec. 21,Spurs , ,0.43,89,Jazz ,-2,0.57,100,11,YES
Wednesday, Dec. 20,Hornets , ,0.42,111,Raptors ,-2,0.58,129,18,YES
Wednesday, Dec. 20,Hawks , ,0.38,95,Pacers ,-3,0.62,105,10,YES
Wednesday, Dec. 20,Heat , ,0.24,90,Celtics ,-7,0.76,89,-1,NO
Wednesday, Dec. 20,Kings , ,0.27,104,Nets ,-6,0.73,99,-5,NO
Wednesday, Dec. 20,Lakers , ,0.08,122,Rockets ,-15,0.92,116,-6,NO
Wednesday, Dec. 20,Magic , ,0.38,94,Bulls ,-3,0.62,112,18,YES
Wednesday, Dec. 20,Jazz , ,0.33,79,Thunder ,-4.5,0.67,107,28,YES
Wednesday, Dec. 20,Pistons , ,0.45,93,Mavericks ,-1.5,0.55,110,17,YES
Wednesday, Dec. 20,T'wolves, ,0.33,112,Nuggets ,-4.5,0.67,104,-8,NO
Wednesday, Dec. 20,Spurs , ,0.48,93,Trail Blazers ,-0.5,0.52,91,-2,NO
Wednesday, Dec. 20,Grizzlies , ,0.05,84,Warriors ,-17.5,0.95,97,13,NO
Wednesday, Dec. 20,Suns , ,0.27,95,Clippers ,-6,0.73,108,13,YES
Tuesday, Dec. 19,Pelicans , ,0.32,106,Wizards ,-4.5,0.68,116,10,YES
Tuesday, Dec. 19,Kings , ,0.25,101,76ers ,-7,0.75,95,-6,NO
Tuesday, Dec. 19,Bucks , ,0.45,119,Cavaliers ,-1.5,0.55,116,-3,NO
Monday, Dec. 18,Pacers , ,0.44,111,Celtics ,-1.5,0.56,112,1,NO
Monday, Dec. 18,Knicks , ,0.36,91,Hornets ,-3.5,0.64,109,18,YES
Monday, Dec. 18,Hawks , ,0.37,110,Heat ,-3,0.63,104,-6,NO
Monday, Dec. 18,Nuggets , ,0.33,94,Thunder ,-4,0.67,95,1,NO
Monday, Dec. 18,Bulls , ,0.48,117,76ers ,-0.5,0.52,115,-2,NO
Monday, Dec. 18,Trail Blazers , ,0.32,107,T'wolves,-4.5,0.68,108,1,NO
Monday, Dec. 18,Jazz , ,0.17,99,Rockets ,-10,0.83,120,21,YES
Monday, Dec. 18,Clippers , ,0.2,91,Spurs ,-8.5,0.8,109,18,YES
Monday, Dec. 18,Suns , ,0.28,97,Mavericks ,-6,0.72,91,-6,NO
Monday, Dec. 18,Lakers , ,0.17,114,Warriors ,-10,0.83,116,2,NO
Sunday, Dec. 17,Kings , ,0.1,93,Raptors ,-13.5,0.9,108,15,YES
Sunday, Dec. 17,Magic , ,0.25,110,Pistons ,-7,0.75,114,4,NO
Sunday, Dec. 17,Cavaliers , ,0.41,106,Wizards ,-2.5,0.59,99,-7,NO
Sunday, Dec. 17,Nets , ,0.49,97,Pacers ,0,0.51,109,12,YES
Saturday, Dec. 16,Trail Blazers , ,0.43,93,Hornets ,-2,0.57,91,-2,NO
Saturday, Dec. 16,Thunder , ,0.48,96,Knicks ,-0.5,0.52,111,15,YES
Saturday, Dec. 16,Jazz , ,0.22,100,Cavaliers ,-7.5,0.78,109,9,YES
Saturday, Dec. 16,Clippers , ,0.34,85,Heat ,-4,0.66,90,5,YES
Saturday, Dec. 16,Bucks , ,0.14,111,Rockets ,-11,0.86,115,4,NO
Saturday, Dec. 16,Suns , ,0.14,108,T'wolves,-11,0.86,106,-2,NO
Saturday, Dec. 16,Mavericks , ,0.22,96,Spurs ,-8,0.78,98,2,NO
Saturday, Dec. 16,Grizzlies , ,0.36,93,Celtics ,-3.5,0.64,102,9,YES
Friday, Dec. 15,Pistons , ,0.26,104,Pacers ,-6.5,0.74,98,-6,NO
Friday, Dec. 15,Clippers , ,0.27,91,Wizards ,-6,0.73,100,9,YES
Friday, Dec. 15,Heat , ,0.38,104,Hornets ,-3,0.62,98,-6,NO
Friday, Dec. 15,Thunder , ,0.48,119,76ers ,-0.5,0.52,117,-2,NO
Friday, Dec. 15,Magic , ,0.48,88,Trail Blazers ,-0.5,0.52,95,7,YES
Friday, Dec. 15,Nets , ,0.12,87,Raptors ,-12.5,0.88,120,33,YES
Friday, Dec. 15,Jazz , ,0.27,107,Celtics ,-6,0.73,95,-12,NO
Friday, Dec. 15,Hawks , ,0.22,94,Grizzlies ,-7.5,0.78,96,2,NO
Friday, Dec. 15,Bulls , ,0.18,115,Bucks ,-9,0.82,109,-6,NO
Friday, Dec. 15,Pelicans , ,0.29,111,Nuggets ,-5.5,0.71,117,6,YES
Friday, Dec. 15,Spurs , ,0.23,109,Rockets ,-7.5,0.77,124,15,YES
Thursday, Dec. 14,Hawks , ,0.44,91,Pistons ,-1.5,0.56,105,14,YES
Thursday, Dec. 14,Knicks , ,0.41,111,Nets ,-2,0.59,104,-7,NO
Thursday, Dec. 14,Lakers , ,0.15,112,Cavaliers ,-11,0.85,121,9,NO
Thursday, Dec. 14,Kings , ,0.13,96,T'wolves,-11.5,0.87,119,23,YES
Thursday, Dec. 14,Mavericks , ,0.07,97,Warriors ,-15.5,0.93,112,15,NO
Wednesday, Dec. 13,Clippers , ,0.41,106,Magic ,-2,0.59,95,-11,NO
Wednesday, Dec. 13,Grizzlies , ,0.23,87,Wizards ,-7,0.77,93,6,NO
Wednesday, Dec. 13,Thunder , ,0.42,100,Pacers ,-2,0.58,95,-5,NO
Wednesday, Dec. 13,Nuggets , ,0.24,118,Celtics ,-7,0.76,124,6,NO
Wednesday, Dec. 13,Trail Blazers , ,0.36,102,Heat ,-3.5,0.64,95,-7,NO
Wednesday, Dec. 13,Bucks , ,0.39,108,Pelicans ,-2.5,0.61,115,7,YES
Wednesday, Dec. 13,Bulls , ,0.37,103,Jazz ,-3.5,0.63,100,-3,NO
Wednesday, Dec. 13,Suns , ,0.23,109,Raptors ,-7,0.77,115,6,NO
Wednesday, Dec. 13,Hornets , ,0.13,96,Rockets ,-12,0.87,108,12,NO
Tuesday, Dec. 12,Hawks , ,0.09,114,Cavaliers ,-14,0.91,123,9,NO
Tuesday, Dec. 12,Nuggets , ,0.41,103,Pistons ,-2,0.59,84,-19,NO
Tuesday, Dec. 12,Lakers , ,0.35,109,Knicks ,-4,0.65,113,4,NO
Tuesday, Dec. 12,Nets , ,0.42,103,Wizards ,-2,0.58,98,-5,NO
Tuesday, Dec. 12,Mavericks , ,0.37,95,Spurs ,-3,0.63,89,-6,NO
Tuesday, Dec. 12,76ers , ,0.24,118,T'wolves,-7,0.76,112,-6,NO
Tuesday, Dec. 12,Suns , ,0.41,92,Kings ,-2.5,0.59,99,7,YES
Monday, Dec. 11,Bulls , ,0.27,108,Celtics ,-6,0.73,85,-23,NO
Monday, Dec. 11,Hornets , ,0.2,116,Thunder ,-8.5,0.8,103,-13,NO
Monday, Dec. 11,Heat , ,0.44,107,Grizzlies ,-1.5,0.56,82,-25,NO
Monday, Dec. 11,Pelicans , ,0.13,123,Rockets ,-12,0.87,130,7,NO
Monday, Dec. 11,Trail Blazers , ,0.11,104,Warriors ,-12.5,0.89,111,7,NO
Monday, Dec. 11,Clippers , ,0.46,96,Raptors ,-1,0.54,91,-5,NO
Sunday, Dec. 10,Kings , ,0.25,87,Raptors ,-6.5,0.75,102,15,YES
Sunday, Dec. 10,Pistons , ,0.46,81,Celtics ,-1,0.54,91,10,YES
Sunday, Dec. 10,Nuggets , ,0.38,116,Pacers ,-3,0.62,126,10,YES
Sunday, Dec. 10,Mavericks , ,0.21,92,T'wolves,-8,0.79,97,5,NO
Sunday, Dec. 10,76ers , ,0.28,124,Pelicans ,-6,0.72,131,7,YES
Sunday, Dec. 10,Hawks , ,0.24,107,Knicks ,-7,0.76,111,4,NO
Saturday, Dec. 9,Clippers , ,0.48,113,Wizards ,-0.5,0.52,112,-1,NO
Saturday, Dec. 9,Nets , ,0.44,89,Heat ,-1.5,0.56,101,12,YES
Saturday, Dec. 9,Lakers , ,0.34,110,Hornets ,-4,0.66,99,-11,NO
Saturday, Dec. 9,Magic , ,0.45,110,Hawks ,-1.5,0.55,117,7,YES
Saturday, Dec. 9,Bulls , ,0.39,104,Knicks ,-2.5,0.61,102,-2,NO
Saturday, Dec. 9,76ers , ,0.26,98,Cavaliers ,-6.5,0.74,105,7,YES
Saturday, Dec. 9,Jazz , ,0.47,100,Bucks ,-0.5,0.53,117,17,YES
Saturday, Dec. 9,Grizzlies , ,0.34,101,Thunder ,-4,0.66,102,1,NO
Saturday, Dec. 9,Suns , ,0.38,101,Spurs ,-3,0.62,104,3,NO
Saturday, Dec. 9,Trail Blazers , ,0.34,117,Rockets ,-4,0.66,124,7,YES
Friday, Dec. 8,Bulls , ,0.15,119,Hornets ,-10.5,0.85,111,-8,NO
Friday, Dec. 8,Pacers , ,0.47,106,Cavaliers ,-1,0.53,102,-4,NO
Friday, Dec. 8,Nuggets , ,0.47,103,Magic ,-0.5,0.53,89,-14,NO
Friday, Dec. 8,Pistons , ,0.26,98,Warriors ,-6.5,0.74,102,4,NO
Friday, Dec. 8,Mavericks , ,0.26,102,Bucks ,-6.5,0.74,109,7,YES
Friday, Dec. 8,Kings , ,0.15,116,Pelicans ,-10.5,0.85,109,-7,NO
Friday, Dec. 8,Grizzlies , ,0.36,107,Raptors ,-3.5,0.64,116,9,YES
Friday, Dec. 8,Celtics , ,0.38,102,Spurs ,-3,0.62,105,3,NO
Thursday, Dec. 7,Lakers , ,0.23,107,76ers ,-7.5,0.77,104,-3,NO
Thursday, Dec. 7,Suns , ,0.39,99,Wizards ,-2.5,0.61,109,10,YES
Thursday, Dec. 7,Nets , ,0.24,100,Thunder ,-7,0.76,95,-5,NO
Thursday, Dec. 7,Jazz , ,0.49,101,Rockets ,-0.5,0.51,112,11,YES
Wednesday, Dec. 6,Hawks , ,0.23,106,Magic ,-7.5,0.77,110,4,NO
Wednesday, Dec. 6,Bulls , ,0.15,96,Pacers ,-11,0.85,98,2,NO
Wednesday, Dec. 6,Kings , ,0.09,95,Cavaliers ,-14,0.91,101,6,NO
Wednesday, Dec. 6,Mavericks , ,0.15,90,Celtics ,-10.5,0.85,97,7,NO
Wednesday, Dec. 6,Grizzlies , ,0.36,88,Knicks ,-3.5,0.64,99,11,YES
Wednesday, Dec. 6,Nuggets , ,0.37,114,Pelicans ,-3.5,0.63,123,9,YES
Wednesday, Dec. 6,Pistons , ,0.34,100,Bucks ,-4,0.66,104,4,NO
Wednesday, Dec. 6,Hornets , ,0.28,87,Warriors ,-6,0.72,101,14,YES
Wednesday, Dec. 6,Heat , ,0.2,105,Spurs ,-8.5,0.8,117,12,YES
Wednesday, Dec. 6,Clippers , ,0.49,107,T'wolves,-0.5,0.51,113,6,YES
Tuesday, Dec. 5,Suns , ,0.1,113,Raptors ,-13,0.9,126,13,NO
Tuesday, Dec. 5,Jazz , ,0.26,94,Thunder ,-6.5,0.74,100,6,NO
Tuesday, Dec. 5,Wizards , ,0.31,106,Trail Blazers ,-5,0.69,92,-14,NO
Monday, Dec. 4,Knicks , ,0.24,97,Pacers ,-7,0.76,115,18,YES
Monday, Dec. 4,Magic , ,0.25,94,Hornets ,-7,0.75,104,10,YES
Monday, Dec. 4,Suns , ,0.18,115,76ers ,-9.5,0.82,101,-14,NO
Monday, Dec. 4,Nets , ,0.41,110,Hawks ,-2,0.59,90,-20,NO
Monday, Dec. 4,Bucks , ,0.23,100,Celtics ,-7.5,0.77,111,11,YES
Monday, Dec. 4,Bulls , ,0.22,91,Cavaliers ,-7.5,0.78,113,22,YES
Monday, Dec. 4,Pelicans , ,0.36,115,Warriors ,-3.5,0.64,125,10,YES
Monday, Dec. 4,Grizzlies , ,0.49,95,T'wolves,0,0.51,92,-3,NO
Monday, Dec. 4,Mavericks , ,0.48,122,Nuggets ,-0.5,0.52,105,-17,NO
Monday, Dec. 4,Pistons , ,0.29,93,Spurs ,-5.5,0.71,96,3,NO
Monday, Dec. 4,Wizards , ,0.3,69,Jazz ,-5,0.7,116,47,YES
Sunday, Dec. 3,Magic , ,0.34,105,Knicks ,-4,0.66,100,-5,NO
Sunday, Dec. 3,Heat , ,0.26,95,Warriors ,-6.5,0.74,123,28,YES
Sunday, Dec. 3,Clippers , ,0.19,106,T'wolves,-9,0.81,112,6,NO
Sunday, Dec. 3,Spurs , ,0.37,87,Thunder ,-3,0.63,90,3,NO
Sunday, Dec. 3,Lakers , ,0.2,95,Rockets ,-8.5,0.8,118,23,YES
Saturday, Dec. 2,Suns , ,0.11,111,Celtics ,-13,0.89,116,5,NO
Saturday, Dec. 2,Clippers , ,0.46,82,Mavericks ,-1,0.54,108,26,YES
Saturday, Dec. 2,Hawks , ,0.27,114,Nets ,-6,0.73,102,-12,NO
Saturday, Dec. 2,Pistons , ,0.29,103,76ers ,-5.5,0.71,108,5,NO
Saturday, Dec. 2,Grizzlies , ,0.13,111,Cavaliers ,-12,0.87,116,5,NO
Saturday, Dec. 2,Kings , ,0.14,104,Bucks ,-11.5,0.86,109,5,NO
Saturday, Dec. 2,Lakers , ,0.17,100,Nuggets ,-9.5,0.83,115,15,YES
Saturday, Dec. 2,Pelicans , ,0.28,123,Trail Blazers ,-6,0.72,116,-7,NO
Friday, Dec. 1,Pistons , ,0.33,91,Wizards ,-4.5,0.67,109,18,YES
Friday, Dec. 1,Magic , ,0.24,112,Warriors ,-7,0.76,133,21,YES
Friday, Dec. 1,Pacers , ,0.23,115,Raptors ,-7.5,0.77,120,5,NO
Friday, Dec. 1,Hornets , ,0.4,100,Heat ,-2.5,0.6,105,5,YES
Friday, Dec. 1,T'wolves, ,0.34,107,Thunder ,-4,0.66,111,4,NO
Friday, Dec. 1,Grizzlies , ,0.41,79,Spurs ,-2,0.59,95,16,YES
Friday, Dec. 1,Kings , ,0.44,107,Bulls ,-1.5,0.56,106,-1,NO
Friday, Dec. 1,Pelicans , ,0.33,108,Jazz ,-4,0.67,114,6,YES
Thursday, Nov. 30,Hawks , ,0.25,114,Cavaliers ,-6.5,0.75,121,7,YES
Thursday, Nov. 30,76ers , ,0.21,97,Celtics ,-8,0.79,108,11,YES
Thursday, Nov. 30,Bulls , ,0.11,110,Nuggets ,-13,0.89,111,1,NO
Thursday, Nov. 30,Bucks , ,0.3,103,Trail Blazers ,-5,0.7,91,-12,NO
Thursday, Nov. 30,Jazz , ,0.41,126,Clippers ,-2.5,0.59,107,-19,NO
Wednesday, Nov. 29,Magic , ,0.38,121,Thunder ,-3,0.62,108,-13,NO
Wednesday, Nov. 29,Suns , ,0.16,107,Pistons ,-10.5,0.84,131,24,YES
Wednesday, Nov. 29,Wizards , ,0.33,113,76ers ,-4.5,0.67,118,5,YES
Wednesday, Nov. 29,Hornets , ,0.25,113,Raptors ,-7,0.75,126,13,YES
Wednesday, Nov. 29,Heat , ,0.38,86,Knicks ,-3,0.62,115,29,YES
Wednesday, Nov. 29,Pacers , ,0.16,97,Rockets ,-10,0.84,118,21,YES
Wednesday, Nov. 29,T'wolves, ,0.32,120,Pelicans ,-4.5,0.68,102,-18,NO
Wednesday, Nov. 29,Nets , ,0.33,109,Mavericks ,-4.5,0.67,104,-5,NO
Wednesday, Nov. 29,Grizzlies , ,0.19,95,Spurs ,-9,0.81,104,9,NO
Wednesday, Nov. 29,Lakers , ,0.2,123,Warriors ,-8.5,0.8,127,4,NO
Tuesday, Nov. 28,Heat , ,0.28,97,Cavaliers ,-6,0.72,108,11,YES
Tuesday, Nov. 28,Suns , ,0.41,104,Bulls ,-2.5,0.59,99,-5,NO
Tuesday, Nov. 28,Wizards , ,0.33,92,T'wolves,-4.5,0.67,89,-3,NO
Tuesday, Nov. 28,Nuggets , ,0.36,77,Jazz ,-3.5,0.64,106,29,YES
Tuesday, Nov. 28,Kings , ,0.36,87,Bucks ,-3.5,0.64,112,25,YES
Monday, Nov. 27,Cavaliers , ,0.43,113,76ers ,-2,0.57,91,-22,NO
Monday, Nov. 27,Magic , ,0.27,109,Pacers ,-6,0.73,121,12,YES
Monday, Nov. 27,Pistons , ,0.19,118,Celtics ,-9,0.81,108,-10,NO
Monday, Nov. 27,Knicks , ,0.48,91,Trail Blazers ,-0.5,0.52,103,12,YES
Monday, Nov. 27,Nets , ,0.07,103,Rockets ,-15.5,0.93,117,14,NO
Monday, Nov. 27,Mavericks , ,0.18,108,Spurs ,-9.5,0.82,115,7,NO
Monday, Nov. 27,Lakers , ,0.27,115,Clippers ,-6,0.73,120,5,NO
Monday, Nov. 27,Kings , ,0.04,110,Warriors ,-19.5,0.96,106,-4,NO
Sunday, Nov. 26,Bulls , ,0.39,93,Heat ,-2.5,0.61,100,7,YES
Sunday, Nov. 26,Suns , ,0.15,108,T'wolves,-11,0.85,119,11,NO
Sunday, Nov. 26,Nets , ,0.26,98,Grizzlies ,-6.5,0.74,88,-10,NO
Saturday, Nov. 25,Magic , ,0.19,111,76ers ,-8.5,0.81,130,19,YES
Saturday, Nov. 25,Trail Blazers , ,0.3,108,Wizards ,-5,0.7,105,-3,NO
Saturday, Nov. 25,Spurs , ,0.5,106,Hornets ,0,0.5,86,-20,NO
Saturday, Nov. 25,Hawks , ,0.29,78,Raptors ,-5.5,0.71,112,34,YES
Saturday, Nov. 25,Pacers , ,0.47,98,Celtics ,-0.5,0.53,108,10,YES
Saturday, Nov. 25,Knicks , ,0.1,102,Rockets ,-13.5,0.9,117,15,YES
Saturday, Nov. 25,Pelicans , ,0.14,95,Warriors ,-11,0.86,110,15,YES
Saturday, Nov. 25,Mavericks , ,0.38,97,Thunder ,-3,0.62,81,-16,NO
Saturday, Nov. 25,Bucks , ,0.29,108,Jazz ,-5.5,0.71,121,13,YES
Saturday, Nov. 25,Kings , ,0.4,95,Clippers ,-2.5,0.6,97,2,NO
Friday, Nov. 24,Nets , ,0.4,125,Trail Blazers ,-2.5,0.6,127,2,NO
Friday, Nov. 24,Hawks , ,0.45,116,Knicks ,-1,0.55,104,-12,NO
Friday, Nov. 24,Magic , ,0.16,103,Celtics ,-10,0.84,118,15,YES
Friday, Nov. 24,Hornets , ,0.28,99,Cavaliers ,-6,0.72,100,1,NO
Friday, Nov. 24,Pistons , ,0.18,99,Thunder ,-9,0.82,98,-1,NO
Friday, Nov. 24,Heat , ,0.22,109,T'wolves,-7.5,0.78,97,-12,NO
Friday, Nov. 24,Raptors , ,0.5,104,Pacers ,0,0.5,107,3,YES
Friday, Nov. 24,Grizzlies , ,0.22,92,Nuggets ,-8,0.78,104,12,YES
Friday, Nov. 24,Suns , ,0.43,91,Pelicans ,-2,0.57,115,24,YES
Friday, Nov. 24,Bulls , ,0.05,94,Warriors ,-18.5,0.95,143,49,YES
Wednesday, Nov. 22,Nets , ,0.15,109,Cavaliers ,-11,0.85,119,10,NO
Wednesday, Nov. 22,Trail Blazers , ,0.39,81,76ers ,-3,0.61,101,20,YES
Wednesday, Nov. 22,Wizards , ,0.4,124,Hornets ,-2.5,0.6,129,5,YES
Wednesday, Nov. 22,Heat , ,0.38,104,Celtics ,-3,0.62,98,-6,NO
Wednesday, Nov. 22,Hawks , ,0.43,103,Clippers ,-1.5,0.57,116,13,YES
